"PointID"	"x"	"y"	"z"	"Density"	"Momentum_x"	"Momentum_y"	"Momentum_z"	"Energy"	"Grid_Velocity_x"	"Grid_Velocity_y"	"Grid_Velocity_z"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
0	1.468150585579992e+00	1.373295407715923e+00	3.701592569787256e-04	9.662911087589816e-01	1.131244413553281e+00	3.679294054785398e-02	4.367800443532791e-02	3.052862124039658e+00	1.027251562223111e-12	3.764014097293888e-11	2.040851845848191e-04	9.555984940483659e-01	9.889343753515977e-01	9.962158076545203e-01	-6.882673913633754e-02	
1	1.567783678150701e+00	1.375507540666436e+00	4.100358346271888e-03	9.693064775865934e-01	1.137146908763762e+00	-6.756963824641183e-03	4.989336910813271e-02	3.061160264094790e+00	2.674698144613338e-12	1.125651105066180e-11	-3.896175929407304e-05	9.571310944776098e-01	9.874390779484958e-01	9.987609797093039e-01	-6.645105642731618e-02	
2	1.704595712765707e+00	1.376681449038247e+00	-2.797124398483789e-04	9.715798688982776e-01	1.131642501207619e+00	-2.002691871108684e-02	4.306503861614641e-02	3.063467921124784e+00	1.037110696113910e-11	-4.779394707328118e-13	-1.542178504005572e-04	9.613079163719103e-01	9.894275778500690e-01	9.905054412050125e-01	-5.997656812389904e-02	
3	1.388212809124582e+00	1.368514151846639e+00	7.134878658389158e-04	9.347043270553475e-01	1.088416552099246e+00	6.867756563357737e-02	5.405846043875796e-02	2.953973409604337e+00	-1.662382190850628e-12	5.445486117755923e-11	3.933774451225805e-04	9.264734985271678e-01	9.911941901947652e-01	9.916837975778409e-01	-1.139733715786710e-01	
4	1.402148536771646e+00	1.369040141386264e+00	3.220709204728609e-03	9.587106455667646e-01	1.123953088704371e+00	4.067289540217036e-02	3.614233736454939e-02	3.030889774291145e+00	-1.097971260206372e-12	5.120036760943396e-11	3.532123968333168e-04	9.482029863221212e-01	9.890398012234115e-01	9.974658496987907e-01	-8.029050979333896e-02	
5	1.478057447284268e+00	1.371388873692352e+00	6.777893425755260e-03	9.656440757778866e-01	1.134319321992657e+00	9.563375165249655e-03	3.633116907353391e-02	3.051731469586084e+00	1.371097018199432e-12	3.301177546482372e-11	1.516296564641946e-04	9.539086311889077e-01	9.878470288553004e-01	9.994186506024756e-01	-7.144619421362280e-02	
6	1.368952176771525e+00	1.365849868807394e+00	7.739024092842493e-04	9.523651872859257e-01	1.046319501228991e+00	3.342584026841688e-01	4.672151322209010e-02	3.006012848084823e+00	-2.325017191342380e-12	5.714241373929013e-11	4.266866573554036e-04	9.485747610657828e-01	9.960199865862961e-01	9.775905622038814e-01	-7.971422205824849e-02	
7	1.371987795589052e+00	1.365980789353167e+00	2.487261193184640e-03	9.111815620571836e-01	1.067593931411579e+00	1.206729561269627e-01	1.057998848674540e-01	2.884993108147266e+00	-2.191208830299612e-12	5.624554269354510e-11	4.149522801321245e-04	8.981728436224979e-01	9.857232422423963e-01	1.008583841707948e+00	-1.578421942855625e-01	
8	1.385900539499124e+00	1.366389502995749e+00	4.579488420039973e-03	9.473237848319086e-01	1.108295705691036e+00	6.442403130718531e-02	5.402596441832215e-02	2.995489521882419e+00	-1.625410438760128e-12	5.317998865321123e-11	3.777673947826888e-04	9.373792533840770e-01	9.895024999825208e-01	9.968524787967992e-01	-9.706836963033699e-02	
9	1.434972976407068e+00	1.367367233120319e+00	7.741206241524931e-03	9.578331292036274e-01	1.119659337006137e+00	3.683526224966284e-02	3.514329766658326e-02	3.026687727427376e+00	2.975287466797243e-13	4.217758698474319e-11	2.482168715499929e-04	9.483686660709528e-01	9.901188809990907e-01	9.938866341007943e-01	-8.003368974616690e-02	
