"PointID"	"x"	"y"	"z"	"Displacement_x"	"Displacement_y"	"Displacement_z"	"FORCE_x"	"FORCE_y"	"FORCE_z"	"Velocity_x"	"Velocity_y"	"Velocity_z"	"Acceleration_x"	"Acceleration_y"	"Acceleration_z"
0	3.048000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-2.023651630252772e+02	8.337101901256588e-01	3.080276583601451e+04	6.472259960520330e-322	6.966325606361576e-322	6.916919041777452e-322	6.521666525104454e-322	6.571073089688579e-322	7.065138735529826e-322	
1	9.144000000000000e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-1.480291354455509e+02	4.523105689241929e-01	2.013047265869379e+04	7.608610945955197e-322	7.658017510539321e-322	5.434722104253712e-323	6.422853395936205e-323	7.707424075123446e-322	7.756830639707571e-322	
2	1.524000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	-1.055405453802332e+02	2.226869803209839e-01	1.138166559730111e+04	7.658017510539321e-322	8.003863462628194e-322	1.235164114603116e-322	7.410984687618698e-323	7.756830639707571e-322	8.053270027212319e-322	
3	3.047985799158044e-01	6.095999566998070e-01	-1.791360788903755e-05	-1.420084195446050e-06	-4.330019308055454e-08	-1.791360788903755e-05	-2.238539606312613e+02	2.942778418621740e-01	3.738763942589228e+04	5.681754927174335e-322	6.175820573015582e-322	6.126414008431457e-322	5.731161491758460e-322	5.780568056342585e-322	6.274633702183831e-322	
4	9.143985566037101e-01	6.096001144423240e-01	-7.039521516630901e-07	-1.443396289549461e-06	1.144423236163191e-07	-7.039521516630899e-07	-1.597321137590380e+02	-4.281339528641752e-01	2.058301918555928e+04	6.669886218856828e-322	7.163951864698075e-322	7.114545300113950e-322	6.719292783440953e-322	6.768699348025078e-322	7.262764993866324e-322	
5	1.523998521730874e+00	6.096002046884595e-01	1.699565468124503e-05	-1.478269125706484e-06	2.046884595909087e-07	1.699565468124504e-05	-1.078223532442629e+02	-5.320644407732276e-01	1.086087791349310e+04	7.460391252202823e-322	7.905050333459945e-322	1.037537856266618e-322	3.458459520888726e-323	7.559204381371072e-322	7.954456898044069e-322	
6	3.047974186864170e-01	1.219200028505069e+00	-3.393183260595340e-05	-2.581313582769239e-06	2.850506887109706e-08	-3.393183260595340e-05	-1.199006323173284e+02	-6.622957707856017e+00	2.184191220694743e+04	4.990063022996590e-322	5.484128668837837e-322	5.434722104253712e-322	5.039469587580715e-322	5.088876152164839e-322	5.582941798006086e-322	
7	9.143973833975494e-01	1.219200220334864e+00	-2.778442995962438e-06	-2.616602450216399e-06	2.203348651298520e-07	-2.778442995962439e-06	-1.367404455226868e+02	-7.738086555015779e+00	1.948416538767880e+04	5.978194314679083e-322	6.472259960520330e-322	6.422853395936205e-322	6.027600879263208e-322	6.077007443847332e-322	6.571073089688579e-322	
8	1.523997354058155e+00	1.219200276237208e+00	2.898076494265466e-05	-2.645941845764259e-06	2.762372076688104e-07	2.898076494265468e-05	-1.048175531482407e+02	-7.421572119816543e+00	1.545964801404135e+04	7.410984687618698e-322	7.460391252202823e-322	1.482196937523740e-323	2.470328229206233e-323	7.509797816786947e-322	7.559204381371072e-322	
9	3.047967721397815e-01	1.828800156027367e+00	-4.481926374457222e-05	-3.227860218415138e-06	1.560273675250440e-07	-4.481926374457221e-05	-3.626746644083207e+01	-2.683146297036519e+01	8.070551978733301e+03	4.199557989650596e-322	4.693623635491842e-322	4.644217070907718e-322	4.248964554234720e-322	4.298371118818845e-322	4.792436764660091e-322	
10	9.143967399067704e-01	1.828800298835523e+00	-6.023755919955302e-06	-3.260093229902746e-06	2.988355231859862e-07	-6.023755919955302e-06	-1.193881278482923e+02	-2.916571876360893e+01	8.754018216110653e+03	5.187689281333089e-322	5.681754927174335e-322	5.632348362590211e-322	5.237095845917213e-322	5.286502410501338e-322	5.780568056342585e-322	
11	1.523996720848366e+00	1.828800254369275e+00	3.328152646365763e-05	-3.279151633910558e-06	2.543692739876546e-07	3.328152646365763e-05	-9.573828447676475e+01	-2.749780721887903e+01	-4.180676341042182e+03	6.175820573015582e-322	6.669886218856828e-322	6.620479654272704e-322	6.225227137599706e-322	6.274633702183831e-322	6.768699348025078e-322	
12	3.047967327342565e-01	2.438400286164421e+00	-4.902229708649985e-05	-3.267265743745192e-06	2.861644227571644e-07	-4.902229708649983e-05	-1.430866425395085e+02	-6.706517957863234e+01	2.200774101389836e+04	3.507866085472850e-322	4.001931731314097e-322	3.952525166729972e-322	3.557272650056975e-322	3.606679214641100e-322	4.100744860482346e-322	
13	9.143967150415636e-01	2.438400332223733e+00	-9.981743888023742e-06	-3.284958435725274e-06	3.322237335246163e-07	-9.981743888023744e-06	-1.115381444245341e+02	-7.259351894902072e+01	1.905020913736061e+04	4.495997377155344e-322	4.990063022996590e-322	4.940656458412465e-322	4.545403941739468e-322	4.594810506323593e-322	5.088876152164839e-322	
14	1.523996710664767e+00	2.438400179121168e+00	2.930464043459415e-05	-3.289335233954401e-06	1.791211687651607e-07	2.930464043459417e-05	-8.935560496643782e+01	-6.911455996348587e+01	2.230921981248015e+04	5.484128668837837e-322	5.978194314679083e-322	5.928787750094959e-322	5.533535233421961e-322	5.582941798006086e-322	6.077007443847332e-322	
15	3.047972361961044e-01	3.048000380125591e+00	-4.675371737337451e-05	-2.763803895623431e-06	3.801255883579160e-07	-4.675371737337451e-05	-1.542616051399698e+01	-1.353017690060688e+02	2.569744929208086e+03	2.717361052126856e-322	3.211426697968103e-322	3.162020133383978e-322	2.766767616710981e-322	2.816174181295105e-322	3.310239827136352e-322	
16	9.143972321300526e-01	3.048000313867139e+00	-1.402333515872647e-05	-2.767869947154908e-06	3.138671370732052e-07	-1.402333515872647e-05	-7.020890738785845e+01	-1.458866056613076e+02	7.738893000272875e+03	3.705492343809349e-322	4.199557989650596e-322	4.150151425066471e-322	3.754898908393474e-322	3.804305472977598e-322	4.298371118818845e-322	
17	1.523997250911915e+00	3.048000086660825e+00	1.861883075301716e-05	-2.749088084980638e-06	8.666082370537365e-08	1.861883075301717e-05	-5.791584002987882e+01	-1.393615931899378e+02	8.686456400570956e+03	4.693623635491842e-322	5.187689281333089e-322	5.138282716748964e-322	4.743030200075967e-322	4.792436764660091e-322	5.286502410501338e-322	
18	3.047980881905626e-01	3.657600418288498e+00	-3.969666798520173e-05	-1.911809437473612e-06	4.182884960240625e-07	-3.969666798520171e-05	8.932485467912754e+01	-2.374335656246921e+02	-1.905667803706144e+04	2.025669147949111e-322	2.519734793790357e-322	2.470328229206233e-322	2.075075712533235e-322	2.124482277117360e-322	2.618547922958607e-322	
19	9.143981056427590e-01	3.657600253501805e+00	-1.753444936067422e-05	-1.894357240805814e-06	2.535018064000618e-07	-1.753444936067421e-05	-5.334264197153160e+01	-2.565479610567203e+02	-4.845268479733538e+03	3.013800439631604e-322	3.507866085472850e-322	3.458459520888726e-322	3.063207004215729e-322	3.112613568799853e-322	3.606679214641100e-322	
20	1.523998127503179e+00	3.657600006594463e+00	4.279372266938135e-06	-1.872496821575685e-06	6.594461024737323e-09	4.279372266938130e-06	-5.041414781491926e+01	-2.447534025907475e+02	-1.092238156434856e+04	4.001931731314097e-322	4.495997377155344e-322	4.446590812571219e-322	4.051338295898222e-322	4.100744860482346e-322	4.594810506323593e-322	
21	3.047990508978081e-01	4.267200402387104e+00	-3.044188983890438e-05	-9.491021919429035e-07	4.023871037572690e-07	-3.044188983890438e-05	-1.760517593159749e+01	-3.780567133715038e+02	4.816071127255120e+03	-4.318571990738363e-09	-3.253014291677164e-06	2.447605468952218e-05	4.869178731203876e-07	-5.270404619348103e-04	-1.777752163909405e-01	
22	9.143990753062115e-01	4.267200174900539e+00	-2.012034250055632e-05	-9.246937881021169e-07	1.749005370828921e-07	-2.012034250055633e-05	-3.580260233969847e+01	-4.110372062165720e+02	6.266527671767347e+03	2.223295406285609e-322	2.717361052126856e-322	2.667954487542731e-322	2.272701970869734e-322	2.322108535453859e-322	2.816174181295105e-322	
23	1.523999099651789e+00	4.267199957219882e+00	-1.025049109019250e-05	-9.003482118090427e-07	-4.278011702566872e-08	-1.025049109019250e-05	-4.790136919007524e+01	-3.896959734051843e+02	9.044494063510894e+03	3.211426697968103e-322	3.705492343809349e-322	3.656085779225224e-322	3.260833262552227e-322	3.310239827136352e-322	3.804305472977598e-322	
24	3.047998927648788e-01	4.876800352364306e+00	-2.171885101373486e-05	-1.072351211825266e-07	3.523643040213958e-07	-2.171885101373486e-05	-9.584810552486186e+00	-5.549864080955774e+02	6.098202919650401e+01	-4.327103796419803e-09	-3.242795686956653e-06	3.202961934044816e-05	-4.056398722059319e-09	-6.855781957551786e-04	-1.795658471249328e-01	
25	9.143999131969416e-01	4.876800106777983e+00	-2.173815326288342e-05	-8.680305845278309e-08	1.067779854072493e-07	-2.173815326288342e-05	-2.761062557350921e+01	-6.148244494947968e+02	1.969613039482504e+03	4.646767235048115e-310	0.000000000000000e+00	0.000000000000000e+00	2.081498565929172e-320	5.434722104253712e-323	6.324040266767956e-322	
26	1.523999929956575e+00	4.876799941959458e+00	-2.210625516904623e-05	-7.004342515842189e-08	-5.804054293903175e-08	-2.210625516904622e-05	-4.130359366506146e+01	-5.763349316376962e+02	-1.733912694383049e+01	2.519734793790357e-322	3.013800439631604e-322	2.964393875047479e-322	2.569141358374482e-322	2.618547922958607e-322	3.112613568799853e-322	
27	3.048004556492599e-01	5.486400298439780e+00	-1.572814461386204e-05	4.556492597929616e-07	2.984397830206088e-07	-1.572814461386204e-05	2.409137604146828e+00	-7.499141903030934e+02	1.186431955198319e+03	-4.626155778154632e-09	-3.288103248198691e-06	2.530469806520535e-05	-2.867252626591155e-09	-5.008778171457086e-04	-1.629846316317687e-01	
28	9.144004620804531e-01	5.486400069565695e+00	-2.268342464886710e-05	4.620804530604551e-07	6.956569381174884e-08	-2.268342464886709e-05	-1.961852356825172e+01	-8.659996430622405e+02	1.835999303498887e+03	-3.624857462845331e-09	-3.189481222211889e-06	3.876755346568115e-05	2.696695473575104e-07	-8.908280263608088e-04	-1.949443116008560e-01	
29	1.524000465215085e+00	5.486399949735016e+00	-2.970904791808766e-05	4.652150844461770e-07	-5.026498043618214e-08	-2.970904791808767e-05	-3.464459123344276e+01	-7.905393939302945e+02	1.939394176928384e+03	1.729229760444363e-322	2.223295406285609e-322	2.173888841701485e-322	1.778636325028488e-322	1.828042889612612e-322	2.322108535453859e-322	
