"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
0, 9.144400000000000e-01, 6.132844266666666e+00, 0.000000000000000e+00, 9.984575103192533e-01, -2.603445990998281e-03, 9.214172126652922e-01
1, 3.611732936393964e-01, 6.119322360714671e+00, -2.471717005770997e-03, 1.017240102604438e+00, 2.909820180333247e-02, 9.184391876639365e-01
2, 3.463924010858594e-01, 6.118729482810600e+00, 0.000000000000000e+00, 1.016930491641680e+00, 2.857563401579863e-02, 9.181231585689088e-01
3, 4.067481043365616e-01, 6.121043754996140e+00, -5.131503011092086e-03, 1.016503133501608e+00, 2.785433010668327e-02, 9.189004391445772e-01
4, 4.859996104951387e-01, 6.123663844136835e+00, -8.024447495641253e-03, 1.016373453345830e+00, 2.763545325720655e-02, 9.195084653524125e-01
5, 6.008080972993990e-01, 6.126646053225055e+00, -1.089767737245689e-02, 1.010553511210557e+00, 1.781243453037614e-02, 9.208211908622498e-01
6, 7.477355229615127e-01, 6.129098309565512e+00, -1.313592645230692e-02, 1.001320017421547e+00, 2.227952709874827e-03, 9.221628751851356e-01
7, 9.144400000000000e-01, 6.130059962655052e+00, -1.399764151567731e-02, 9.982440939789402e-01, -2.963654504894333e-03, 9.226903621391208e-01
8, 1.081144477038487e+00, 6.129098309565512e+00, -1.313592645230692e-02, 9.969196434014731e-01, -5.199089587035683e-03, 9.233666191539889e-01
9, 1.228071902700601e+00, 6.126646053225055e+00, -1.089767737245690e-02, 9.888596912097690e-01, -1.880284362380330e-02, 9.243829463759227e-01
10, 1.342880389504861e+00, 6.123663844136835e+00, -8.024447495641254e-03, 9.823097880277517e-01, -2.985790570525300e-02, 9.242193988911328e-01
11, 1.422131895663438e+00, 6.121043754996140e+00, -5.131503011092094e-03, 9.817638976919809e-01, -3.077927070621639e-02, 9.234748206018187e-01
12, 1.467706706360604e+00, 6.119322360714671e+00, -2.471717005770999e-03, 9.813633475378888e-01, -3.145532754204566e-02, 9.232249613380569e-01
13, 1.482487598914141e+00, 6.118729482810600e+00, -1.139460746938324e-18, 9.813556845413810e-01, -3.146826130606772e-02, 9.230872918469128e-01
14, 1.467706706360604e+00, 6.119322360714671e+00, 2.471717005770993e-03, 9.813634986473300e-01, -3.145507249640499e-02, 9.232249235131660e-01
15, 1.422131895663438e+00, 6.121043754996140e+00, 5.131503011092085e-03, 9.817641204357969e-01, -3.077889475459617e-02, 9.234747556812869e-01
16, 1.342880389504862e+00, 6.123663844136835e+00, 8.024447495641246e-03, 9.823100719012101e-01, -2.985742657775771e-02, 9.242193171899417e-01
17, 1.228071902700601e+00, 6.126646053225055e+00, 1.089767737245689e-02, 9.888599824602282e-01, -1.880235204525349e-02, 9.243828629091155e-01
18, 1.081144477038488e+00, 6.129098309565512e+00, 1.313592645230692e-02, 9.969198306512266e-01, -5.198773543028322e-03, 9.233665387089441e-01
19, 9.144400000000001e-01, 6.130059962655052e+00, 1.399764151567731e-02, 9.982440134436702e-01, -2.963790433989000e-03, 9.226903108445950e-01
20, 7.477355229615131e-01, 6.129098309565512e+00, 1.313592645230693e-02, 1.001320672358137e+00, 2.229058125399524e-03, 9.221628135429417e-01
21, 6.008080972993994e-01, 6.126646053225055e+00, 1.089767737245690e-02, 1.010552534139102e+00, 1.781078540896225e-02, 9.208213370575984e-01
22, 4.859996104951388e-01, 6.123663844136835e+00, 8.024447495641256e-03, 1.016369543084989e+00, 2.762885343807152e-02, 9.195090320346114e-01
23, 4.067481043365619e-01, 6.121043754996140e+00, 5.131503011092095e-03, 1.016505013798199e+00, 2.785750371016503e-02, 9.189003387679034e-01
24, 3.611732936393964e-01, 6.119322360714671e+00, 2.471717005771005e-03, 1.017238655251857e+00, 2.909575893170510e-02, 9.184392851882905e-01
25, 1.060450525380305e-01, 6.104003355883344e+00, -2.002402515315564e-03, 1.021594983588274e+00, 3.644846001261486e-02, 9.124737269007634e-01
26, 9.388703140214816e-02, 6.103391699343649e+00, 0.000000000000000e+00, 1.020253540292527e+00, 3.418434426904971e-02, 9.105776961564914e-01
27, 1.469638901861748e-01, 6.105937516026202e+00, -4.835424679767856e-03, 1.019776369974237e+00, 3.337896633512794e-02, 9.150831251829306e-01
28, 2.306752173593699e-01, 6.109433837061920e+00, -9.310595475523247e-03, 1.024945285138684e+00, 4.210316827350158e-02, 9.161789988535330e-01
29, 3.799487560171312e-01, 6.114470319994206e+00, -1.576482622333470e-02, 1.027240030122581e+00, 4.597628632625710e-02, 9.179111432708562e-01
30, 6.135499001555889e-01, 6.119726858896093e+00, -2.266080556410860e-02, 1.015084294157938e+00, 2.545958371242592e-02, 9.205475762837051e-01
31, 9.144399999999999e-01, 6.122130935666195e+00, -2.586426899952906e-02, 9.989779847718693e-01, -1.724978443374838e-03, 9.229789686596660e-01
32, 1.215330099844411e+00, 6.119726858896093e+00, -2.266080556410862e-02, 9.831956891962796e-01, -2.836266338732170e-02, 9.247435422936355e-01
33, 1.448931243982869e+00, 6.114470319994206e+00, -1.576482622333470e-02, 9.694632426767539e-01, -5.154057069140920e-02, 9.249006091202917e-01
34, 1.598204782640630e+00, 6.109433837061920e+00, -9.310595475523258e-03, 9.714465066351010e-01, -4.819317675685084e-02, 9.225327217080702e-01
35, 1.681916109813825e+00, 6.105937516026202e+00, -4.835424679767864e-03, 9.795904796576994e-01, -3.444761062365075e-02, 9.211573851181447e-01
36, 1.722834947461970e+00, 6.104003355883344e+00, -2.002402515315564e-03, 9.782256248287957e-01, -3.675124083716629e-02, 9.208216452887387e-01
37, 1.734992968597852e+00, 6.103391699343649e+00, -8.725648461687863e-19, 9.799598890686461e-01, -3.382411377827765e-02, 9.197405913016469e-01
38, 1.722834947461970e+00, 6.104003355883344e+00, 2.002402515315560e-03, 9.782255998263291e-01, -3.675128303684671e-02, 9.208216439665134e-01
39, 1.681916109813825e+00, 6.105937516026202e+00, 4.835424679767859e-03, 9.795907883358100e-01, -3.444708963035033e-02, 9.211573153024295e-01
40, 1.598204782640630e+00, 6.109433837061920e+00, 9.310595475523238e-03, 9.714474767934730e-01, -4.819153930348199e-02, 9.225325807135251e-01
41, 1.448931243982869e+00, 6.114470319994206e+00, 1.576482622333468e-02, 9.694644288286928e-01, -5.153856867963009e-02, 9.249004434828402e-01
42, 1.215330099844412e+00, 6.119726858896093e+00, 2.266080556410860e-02, 9.831963237457630e-01, -2.836159238157736e-02, 9.247434362099097e-01
43, 9.144400000000003e-01, 6.122130935666195e+00, 2.586426899952906e-02, 9.989780629133527e-01, -1.724846554562734e-03, 9.229789502238636e-01
44, 6.135499001555895e-01, 6.119726858896093e+00, 2.266080556410863e-02, 1.015084439151064e+00, 2.545982843482284e-02, 9.205476002854978e-01
45, 3.799487560171316e-01, 6.114470319994206e+00, 1.576482622333472e-02, 1.027240184717686e+00, 4.597654725507391e-02, 9.179111496387200e-01
46, 2.306752173593701e-01, 6.109433837061920e+00, 9.310595475523259e-03, 1.024942255140799e+00, 4.209805418039288e-02, 9.161790823749776e-01
47, 1.469638901861752e-01, 6.105937516026202e+00, 4.835424679767869e-03, 1.019775662169138e+00, 3.337777168704102e-02, 9.150831274865764e-01
48, 1.060450525380306e-01, 6.104003355883344e+00, 2.002402515315572e-03, 1.021594579934696e+00, 3.644777871775576e-02, 9.124737816730951e-01
49, 2.494556442415108e-02, 6.097932892385726e+00, -1.041131891147590e-03, 1.021128018040302e+00, 3.566030590113151e-02, 8.961766275132095e-01
50, 1.672582625703645e-02, 6.097586917101150e+00, 0.000000000000000e+00, 1.024362155337921e+00, 4.111894973319169e-02, 8.877041771302225e-01
51, 5.438298711888490e-02, 6.098960562797836e+00, -3.251820287746724e-03, 1.011147966342895e+00, 1.881576819959295e-02, 9.109647142690321e-01
52, 1.222708636516816e-01, 6.100880318131254e+00, -7.875995701228572e-03, 1.004780235642606e+00, 8.068180601211276e-03, 9.174111665321436e-01
53, 2.648699050535223e-01, 6.104085400500020e+00, -1.634717628828906e-02, 1.009998015948249e+00, 1.687485813571617e-02, 9.186080157569193e-01
54, 5.301313520449487e-01, 6.108136319166103e+00, -2.767945074660708e-02, 1.009323238250233e+00, 1.573595437860024e-02, 9.203156282043518e-01
55, 9.144399999999999e-01, 6.110264308182344e+00, -3.379329598838484e-02, 9.986233533462294e-01, -2.323532699450740e-03, 9.225923227198307e-01
56, 1.298748647955051e+00, 6.108136319166103e+00, -2.767945074660709e-02, 9.883127255724896e-01, -1.972602354089655e-02, 9.240276812708477e-01
57, 1.564010094946477e+00, 6.104085400500020e+00, -1.634717628828909e-02, 9.894689911058752e-01, -1.777445465522016e-02, 9.238191843797685e-01
58, 1.706609136348318e+00, 6.100880318131254e+00, -7.875995701228567e-03, 1.000581874783927e+00, 9.821002969332580e-04, 9.242469394322599e-01
59, 1.774497012881115e+00, 6.098960562797836e+00, -3.251820287746723e-03, 9.934218682502326e-01, -1.110270684203248e-02, 9.259788491080163e-01
60, 1.803934435575849e+00, 6.097932892385726e+00, -1.041131891147593e-03, 9.851878442401467e-01, -2.500026289470241e-02, 9.242202764171839e-01
61, 1.812154173742964e+00, 6.097586917101150e+00, -3.903398187640715e-19, 9.906210243878510e-01, -1.583002905102105e-02, 9.179194321902376e-01
62, 1.803934435575849e+00, 6.097932892385726e+00, 1.041131891147583e-03, 9.851875654620795e-01, -2.500073342209099e-02, 9.242204189070169e-01
